CASE,DATE,LOCATION,TIME (Hours),BIKE TYPE,LOST INFO
80001,12/28/07,801 Franklin/Jesuit Res.,852,G.T. Aggressor 3.8 Bike Tire,Stolen bike tire only 
80009,12/07/07-1/8/08,Swig Hall bike rack,1200,"14"" ladies Giant @ $310",Chain and combination lock missing
80010,1/8/08,O'Connor bike rack,1535-1730,"26"" silver Triax Mt. bike, $150",Lock and cable missing
80014,1/9/08,Kenna bike rack,1520,"24"" Red & SIL road bike, 14 Spd,",Cable lock cut and left behind.
80039,1/14/08,Kenna bike rack,1700-2020,Blue mountain/road hybrid,Cable lock cut  
80041,1/15/08,801 Franklin/Jesuit Res.,1/10-1/11'08,Blue framed Diamondback Mt. bike,
800074,1/24/08,Bannan bike rack,1345-1700,sidewalk men bike,Kryptonite lock was opened/removed
800109,2/1/08,Benson bike rack,0915-1030,"Trek 3700, 24 Sp. Mtn.",Kryptonite cable lock was opened/removed
800166,2/11/08,Bannan bike rack,1530-1710,Micargi Tahiti cruise 1 Sp.,Cable lock cut
800198,2/18/08,Bannan bike rack,1345-1530,"Blue Schwinn 14 Sp Seneca, $300",Kryptonite cable lock was opened/removed
800199,2/18/08,Graham 300 bike rack,2300-2000,"24 Sp. Diamond Back, $400",Cable lock cut
800200,2/20/08,Daly Science 300,1030-1300,"Silver Mt. bike ladies 21 Sp, $300",Cable lock cut and removed
800232,2/22/08,Nobili bike rack,1200,"Men's cruiser, value unknown",Cable lock cut and removed
800237,2/26/08,IT bike rack,0830-1745,"Fisher Mt. bike, 24 Sp., $700",Cable/combination lock cut and removed
800239,2/25/08,Walsh bike rack,1000-2100,"Lady's Hopper, $100",Cable lock cut and removed
800241,2/16/08,Bellarmine bike rack,2/16-2/27'08,"Red Motive Mt. bike, $300",Cable combo lock cut
800276,3/3/08,IT/Mech. Eng bike rack,1600-2120,"Mt. bike 24 Sp, $300",Cable lock cut and left behind.
800287,3/5/08,Bannan bike rack,1530,"08 Giant green, $400",Chain lock cut
800288,3/5/08,Alumni bike rack,1615-1730,"Gary Fisher mens Mtn. bike,$1200 ",Chain lock cut
800317,3/11/08,Arts & Science bike rack,1000-1240,"men Novara Float Mt., $1200",Cable lock cut and removed
800322,3/11/08,Kenna bike rack,1840,"Blue Cadillac CTS Rd bike, $400",Cable lock cut
800340,3/14/08,Daly Science 100 bike rack,1240-1545,"Men Specialized Hard Rock, $450",Cable lock cut and removed
800345,3/15/08,Swig Hall bike rack,1600-2100,"Exxitor Mt. bike, $200",Cable lock cut and removed
800346,3/15/08,Casa Italiana bike rack,1600,"Diamondback Mt Back, $100",Cable lock cut
800353,3/14-3/15/08,Sanfilippo bike rack,1800,"Seaside cruising bike, $500",Cable lock cut and removed
800376,3/26/08,Heafey Library bike rack,1600-2100,"Giant men's, $250",Both wheels stolen
800377,3/26/08,A & S bike rack,2105,unknown bike,Tampered with/parts stolen
800388,3/31/08,Domicilio Apts.,3/20-3/31'08,"Specialized Spec Hardrock, $300",U-lock removed
800450,4/14/08,O'Connor west rail,1145-1300,"Cannondale Mt. bike, $1500",Cable lock cut
800460,4/16/08,Mission Church S. Railing,1205-1530,"Giant Rincon, CB7J9464, $400",U-lock & cable removed
800462,4/17/08,Swig bike rack,0955-1135,"Red Schwinn Mt. bike, $400",Cable lock cut and removed
800480,4/22/08,Dunne bike rack,1210-1335,"Hybrid Maria Kentfield, $366.97",Cable and key lock removed
800571,5/12/08,Malley Ctr bike rack,1000-1030,Specialized Rockhopper Mtn.$400,Cable lock cut and removed
800711,6/17/08,Perf. Arts/Music & Dance,1200-2135,Schwinn cruiser.,Cable lock cut and left behind.
800724,6/23/08,Benson bike rack,1130-1230,"Eastman Mt. bike, $40",Cable & padlock were cut.
800726,6/23/08,Engineering Quad,1300-1550,"Raleigh Mojave S.#U77K12683, $297",Cable & lock set removed.
800772,7/21/08,Campisi bike racks,1700-0800,Diamondback Intrepid ,Bike seat and bolts were taken
800807,8/8/08,Benson bike rack,1600,Gary Fisher Mt. bike men's,Cable lock cut and removed
800818,8/18/08,Bannan Eng. Bike rack,0850-1015,"Cannondale road bike, 21 sp, $500",Cable lock cut and left behind.
800823,8/20/08,Engineering Quad,1500-1645,"Fuji Road bike, $860",Cable lock cut and removed
800824,8/20/08,Engineering Quad,1500--1645,Raleigh Mt. $300,Cable lock cut and removed
801029,10/12/08,Orradre bike rack,2-8 PM,"Mt. bike black 26 "", $100",bike lock cut and removed.
